Recipe Name, 칼로리, 단백질, 지방, 탄수화물, 나트륨
새우 두부 계란찜, 220, 14, 17, 3, 99
부추 콩가루 찜, 215, 14, 9, 20, 240
방울토마토 소박이, 45, 2, 1, 9, 277
순두부 사과 소스 오이무침, 75, 4, 2, 10, 22
사과 새우 북엇국, 65, 12, 1, 2, 78
저염 된장으로 맛을 낸 황태해장국, 100, 13, 0, 12, 361
된장국, 20, 2, 0, 3, 260
표고버섯 청경채국, 45, 2, 1, 7, 2441
치커리샐러드와 올리브 마늘 소스, 170, 3, 12, 13, 74
스트로베리 샐러드, 195, 7, 5, 30, 138
시금치 우유 소스와 그린매쉬드포테이토, 155, 5, 1, 32, 24
버섯구이와 두부타르타르 소스, 150, 8, 5, 18, 133
구운채소와 간장레몬 소스, 175, 4, 9, 19, 38
브로콜리 컬리플라워 샐러드와 두유 요거트 소스, 210, 9, 6, 30, 79
오렌지와 당근 만남주스, 60, 1, 0, 14, 76
칠곡석류국수, 73.4, 2.1, 1.6, 12.7, 12.5
블랙빈 곤약국수, 54.3, 3.4, 2.4, 4.9, 18.5
닭가슴살 브로콜리 만두, 123.2, 8.4, 1.5, 19, 167.9
함초 냉이 국수, 35.8, 1.8, 0, 7.1, 34.5
된장 두부찌개, 77.3, 7.5, 4.2, 2.4, 124.6
부대된장찌개, 72.6, 5.3, 3.9, 4.2, 191.9
양배추감자전, 148.9, 7.7, 6.6, 14.7, 107.1
돌나물 샐러드, 235, 3, 24, 2, 151
석류 보쌈김치, 24.5, 1.4, 0, 4.7, 171.3
유자 대구조림, 84, 9.6, 0.4, 10.6, 109.7
파프리카 물김치, 44.9, 1.1, 0, 10.1, 272
고추장 라따뚜이, 62.6, 3.1, 2.2, 7.6, 138.5
민들레 샐러드, 53.9, 2.4, 0, 10.9, 874.2
토마토 가지 카프레제, 90.5, 1.2, 6.2, 7.4, 11.3
우렁된장소스 배추롤, 326.3, 22.3, 7.2, 43, 976
인삼떡갈비, 253.3, 26.9, 9.5, 15, 196
초계탕과 사색곤약, 100.1, 15.4, 0.9, 7.7, 54.4
호박잎 삼계탕, 314.1, 16, 3.9, 53.7, 55.9
황태미역 곤약스프, 124.9, 14.3, 6.1, 3.2, 790.3
훈제오리가슴살 샐러드, 261.8, 21, 14.6, 11.5, 636
훈제오리가슴살크러스트, 250, 17.2, 14.1, 13.5, 352.2
간장소스를 곁들인 새우전복찜, 119.1, 19.2, 1.1, 8.2, 455.9
검은콩국수, 343.6, 11.2, 3, 68.1, 633.5
겨자소스로 구운 산마샐러드, 112, 3, 4, 16, 144.8
닭고기김치찌개, 277.1, 5.87, 2.73, 1.79, 776.6
완자김치찌개, 161.1, 6.78, 2.61, 1.34, 355
백김치콩비지찌개, 195.3, 2.99, 2.99, 3.13, 447.2
오징어김치찌개, 159.1, 2.4, 0.7, 2.5, 549
해물김치찌개, 53.9, 3, 2.3, 5.2, 385.1
맑은부대찌개, 395.9, 6.23, 2.41, 8.67, 334.9
나가사키부대찌개, 342.7, 5.37, 3.63, 3.99, 778
삼계부대찌개, 299.9, 4.46, 0.09, 8.26, 163.6
쑥갓부대찌개, 126.3, 6.4, 6.8, 9.9, 347.1
들깨순두부찌개, 171.7, 2.8, 1.36, 2.92, 111.6
백태순두부찌개, 165.4, 3.08, 1.13, 2.4, 640.3
버섯순두부찌개, 85.7, 6.4, 3.9, 6.3, 243.1
토란순두부찌개, 312.7, 3.48, 2.96, 2.93, 409.2
토마토스프파스타, 282.6, 10.4, 10.4, 37, 41.4
다이어트국수, 36.9, 0.1, 1.4, 6.1, 490.7
오징어구이, 278.1, 22.9, 9.7, 24.8, 611.4
배숙구이, 196.3, 1.3, 0.3, 47, 21.6
웰빙스테이크, 273, 19.2, 13.2, 19.2, 204.4
오징어콩순대, 213.5, 17.9, 4.7, 25, 295.4
토마토소고기장조림, 282.6, 31.2, 8.5, 20.4, 941.7
토마토소고기찜, 302.9, 26.6, 16.8, 11.2, 289.3
맛간장삼치구이, 220.9, 30.2, 8.8, 5.2, 570.8
삼겹살꼬치구이, 289.5, 11.2, 23.4, 805, 59.8
새우아욱죽, 201.3, 13.1, 1.4, 34, 471.6
까르보나라뇨끼, 351.9, 13.2, 20.3, 29.1, 347.2
호박죽, 150.1, 5.6, 2.3, 26.8, 101.4
